# ----------------------------------------
# Report CSV Export
# Account: QUT Centre for Robotics
# Property: QCR Open Source Website
# ----------------------------------------
# 
# All Users
# Start date: 20210502
# End date: 20220502

Page path + query string and screen class,Views
/?fbclid=IwAR0abkqkK1nSsxNighIzIF3FMGvpTnuVC1hOgWNJ1-MSiS3NHv_eW42fn8Y,1,1,1,1,7,1,5,0,0
/?fbclid=IwAR0uE63Uoo7y40obcWgIJvsP2HHD2CPjq8DwJdR_x71H8jfA5-Um4fVRqfY,1,1,1,1,8,1,5,0,0
/?fbclid=IwAR2GxgkEGPS8Nm4U9G-LXXpOViOV2caGQBIJ849ZWtVj1OxV9MMyZFaiyTs,1,1,1,1,7,1,5,0,0
/_next/static/media/debug.65f32d67.gif,1,1,0,1,2,1,3,0,0
/code/delta-descriptors/,1,1,0,1,6,0,1,0,0
/code/robotics-toolbox-python/?msclkid=2d0aa167b16711ec940f6350d22fc757,1,1,1,1,22,1,5,0,0
/code/swift/?msclkid=2d0c2f0db16711ec9156d07ce7c11bc1,1,1,0,1,15,1,2,0,0
/collection/vpr_overview/?fbclid=IwAR2r6mqZ60tDhHck_OAe4tvpCNFEN_DJZN4vKMkgPv7LxMHP9Xl8NNKYQhk,1,1,0,1,190,1,3,0,0
/dataset/benchbot-challenge/,1,1,0,1,10,0,1,0,0
/dataset/kagaru/,1,1,0,1,4,0,1,0,0
/dataset/low-light/,1,1,0,1,2,0,1,0,0
/dataset/multimodal-rock-surface/,1,1,0,1,4,0,1,0,0
/dataset/uq-st-lucia/,1,1,0,1,2,0,1,0,0
/debug/%22/_next/static/gifs/0b702a0b6abfa7d90459998e6fa0ee8c.gif%22,1,1,0,1,4,1,3,0,0
/public/qcr_logo_light_filled.svg,1,1,0,1,3,1,3,0,0
/static/images/debug-0b702a0b6abfa7d90459998e6fa0ee8c.mp4,1,1,0,1,2,1,3,0,0
